"sampledate","depth","wtemp","do_raw","do_sat","chlor_rfu","phyco_rfu","ph","spec_cond","turbidity","fdom_rfu","flag_wtemp","flag_do_raw","flag_do_sat","flag_chlor_rfu","flag_phyco_rfu","flag_ph","flag_spec_cond","flag_turbidity","flag_fdom_rfu"
"2023-09-12",0.38,22.46,8.85,102.3,0.89,0.35,8.78,529.08,2.23,6.01,,,,,,,,,
"2023-09-13",0.39,22.21,8.85,101.8,0.45,0.34,8.77,527.98,2.26,6.26,,,,,,,,,
"2023-09-14",0.39,22.03,9.18,105.2,0.47,0.31,8.79,528.29,2.12,6.25,,,,,,,,,
"2023-09-15",0.36,21.58,8.82,100.3,0.48,0.26,8.77,529.33,1.61,6.51,,,,,,,,,
"2023-09-16",0.33,21.32,8.78,99.2,0.51,0.28,8.76,530.1,1.61,6.56,,,,,,,,,
"2023-09-17",0.34,21.11,8.82,99.3,0.48,0.26,8.74,531.2,1.67,6.52,,,,,,,,,
"2023-09-18",0.34,21.2,9.22,103.9,0.52,0.26,8.77,531.22,1.64,6.39,,,,,,,,,
"2023-09-19",0.32,20.66,8.92,99.6,0.66,0.34,8.76,530.24,1.66,6.58,,,,,,,,,
"2023-09-20",0.34,20.72,8.55,95.5,0.53,0.39,8.72,531.89,1.47,6.53,,,,,,,,,
"2023-09-21",0.4,21.1,9.18,103.3,0.54,0.36,8.76,531.88,1.5,6.33,,,,,,,,,
"2023-09-22",0.38,20.54,7.99,88.9,0.64,0.45,8.67,534.59,1.37,6.71,,,,,,,,,
"2023-09-23",0.35,20.48,8.37,93.1,0.56,0.47,8.7,534.17,1.37,6.65,,,,,,,,,
"2023-09-24",0.33,20.12,8.33,92,0.57,0.5,8.68,535.36,1.41,6.8,,,,,,,,,
"2023-09-25",0.36,20.11,8.32,91.9,0.63,0.45,8.67,533.53,1.45,7.04,,,,,,,,,
"2023-09-26",0.41,19.85,8.25,90.6,0.71,0.53,8.65,522.64,1.52,7.36,,,,,,,,,
"2023-09-27",0.43,19.7,8.26,90.4,0.66,0.6,8.62,521.05,1.55,7.44,,,,,,,,,
"2023-09-28",0.44,19.82,8.65,94.9,0.8,0.51,8.67,527.9,1.59,6.99,,,,,,,,,
"2023-09-29",0.44,19.9,9.16,100.8,0.93,0.45,8.72,531.14,1.64,6.8,,,,,,,,,
"2023-09-30",0.46,20.04,9.12,100.6,0.91,0.46,8.72,532.33,1.55,6.75,,,,,,,,,
"2023-10-01",0.49,20.04,8.79,96.9,0.98,0.47,8.69,532.65,1.49,6.81,,,,,,,,,
"2023-10-02",0.47,20.13,9.13,100.8,0.72,0.45,8.75,533.66,1.5,6.68,,,,,,,,,
"2023-10-03",0.44,20.57,9.77,108.9,0.39,0.31,8.84,535.47,1.75,6.69,,,,,,,,,
"2023-10-04",0.38,20.15,8.68,95.9,0.39,0.33,8.76,537.36,1.39,7.03,,,,,,,,,
"2023-10-05",0.39,20.37,9.11,101.1,0.42,0.32,8.81,536.05,1.66,6.68,,,,,,,,,
"2023-10-06",0.4,19.23,9.23,100.1,0.49,0.33,8.83,534.35,1.83,6.73,,,,,,,,,
"2023-10-07",0.45,18.34,9.14,97.3,0.47,0.36,8.82,536.13,2.07,6.81,,,,,,,,,
"2023-10-08",0.39,18.08,9.16,97,0.5,0.39,8.83,537.39,1.9,6.76,,,,,,,,,
"2023-10-09",0.34,17.16,9.24,96.1,0.54,0.38,8.82,538.76,2.06,6.91,,,,,,,,,
"2023-10-10",0.32,16.6,9.07,93.2,0.61,0.41,8.8,540.57,1.91,7,,,,,,,,,
"2023-10-11",0.32,17.02,9.03,93.7,0.65,0.49,8.79,541.52,2,6.83,,,,,,,,,
"2023-10-12",0.36,16.18,8.7,88.6,0.65,0.46,8.73,543.3,2.18,7.26,,,,,,,,,
